path,label
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger001.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger002.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger003.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger004.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger005.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger006.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger007.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger008.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger009.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger010.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger011.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger012.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger013.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger014.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger015.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger016.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger017.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger018.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger019.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger020.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger021.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger022.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger023.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger024.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger025.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger026.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger027.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger028.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger029.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger030.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger031.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger032.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger033.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger034.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger035.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger036.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger037.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger038.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger039.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger040.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger041.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger042.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger043.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger044.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger045.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger046.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger047.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger048.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger049.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger050.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger051.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger052.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger053.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger054.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger055.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger056.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger057.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger058.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger059.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger060.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger061.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger062.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger063.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger064.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger065.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger066.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger067.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger068.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger069.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger070.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger071.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger072.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger073.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger074.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger075.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger076.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger077.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger078.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger079.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger080.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger081.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger082.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger083.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger084.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger085.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger086.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger087.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger088.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger089.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger090.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger091.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger092.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger093.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger094.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger095.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger096.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger097.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger098.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger099.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger100.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger101.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger102.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger103.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger104.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger105.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger106.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger107.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger108.wav,0
C:\Users\sagar\Desktop\summer_intern\datasets\anger\anger109.wav,0
